Feature,Importance,StdDev
MobileNetV2_6,0.0065705128205128084,0.003615549414320036
MobileNetV2_46,0.004807692307692291,0.001755521017644757
MobileNetV2_36,0.004487179487179471,0.002662379443242963
MobileNetV2_53,0.0024038461538461453,0.0016421395458268528
MobileNetV2_63,0.0024038461538461453,0.002179722837938365
MobileNetV2_32,0.0014423076923076872,0.0022031613918056846
MobileNetV2_58,0.0012820512820512775,0.002126041532279095
VGG16_54,0.0008012820512820484,0.0008012820512820484
MobileNetV2_16,0.0008012820512820484,0.0012920284853042503
MobileNetV2_11,0.0006410256410256387,0.0016343011261515277
MobileNetV2_20,0.0006410256410256387,0.0007850928662766569
MobileNetV2_3,0.0006410256410256387,0.0012820512820512775
VGG16_10,0.00048076923076922906,0.0007343871306018948
MobileNetV2_24,0.0003205128205128194,0.0009615384615384581
MobileNetV2_44,0.0003205128205128194,0.0006410256410256387
MobileNetV2_62,0.0003205128205128194,0.0006410256410256387
MobileNetV2_55,0.0003205128205128194,0.0006410256410256387
MobileNetV2_23,0.0003205128205128194,0.0026623794432429635
VGG16_52,0.0003205128205128194,0.0006410256410256387
VGG16_41,0.0001602564102564097,0.0008630071806305263
MobileNetV2_22,0.0001602564102564097,0.0008630071806305263
MobileNetV2_37,0.0001602564102564097,0.0013311897216214817
MobileNetV2_51,0.0001602564102564097,0.0011217948717948678
MobileNetV2_42,0.0001602564102564097,0.0013311897216214817
VGG16_56,0.0,0.0
MobileNetV2_33,0.0,0.0010135505321052461
MobileNetV2_29,0.0,0.0
MobileNetV2_17,0.0,0.0020271010642104923
MobileNetV2_27,0.0,0.0
MobileNetV2_43,0.0,0.0
MobileNetV2_34,0.0,0.0
MobileNetV2_35,0.0,0.0
MobileNetV2_47,0.0,0.0
MobileNetV2_61,0.0,0.0
VGG16_0,0.0,0.0
MobileNetV2_59,0.0,0.0
MobileNetV2_49,0.0,0.0
MobileNetV2_50,0.0,0.0
MobileNetV2_39,0.0,0.0
VGG16_36,0.0,0.0
VGG16_35,0.0,0.0
VGG16_45,0.0,0.0
VGG16_46,0.0,0.0
VGG16_47,0.0,0.0
VGG16_48,0.0,0.0
VGG16_49,0.0,0.0
VGG16_53,0.0,0.0
VGG16_42,0.0,0.0
VGG16_40,0.0,0.0
VGG16_17,0.0,0.0
VGG16_12,0.0,0.0
VGG16_16,0.0,0.0
VGG16_18,0.0,0.0
VGG16_27,0.0,0.0
VGG16_30,0.0,0.0
VGG16_22,0.0,0.0
VGG16_28,0.0,0.0
VGG16_6,0.0,0.0
VGG16_7,0.0,0.0
VGG16_4,0.0,0.0
VGG16_14,0.0,0.0
MobileNetV2_9,0.0,0.0
MobileNetV2_15,0.0,0.0
MobileNetV2_8,0.0,0.0
MobileNetV2_1,0.0,0.0
VGG16_43,0.0,0.0
VGG16_59,0.0,0.0
VGG16_57,0.0,0.0
VGG16_44,0.0,0.0
VGG16_33,0.0,0.0
VGG16_58,0.0,0.0
VGG16_62,0.0,0.0
EfficientNetB0_0,0.0,0.0
MobileNetV2_19,-0.0001602564102564097,0.0015118559506500915
VGG16_24,-0.0001602564102564097,0.00048076923076922906
VGG16_29,-0.0001602564102564097,0.00048076923076922906
VGG16_26,-0.0001602564102564097,0.00048076923076922906
VGG16_5,-0.0001602564102564097,0.00048076923076922906
VGG16_11,-0.0001602564102564097,0.00048076923076922906
VGG16_63,-0.0001602564102564097,0.00048076923076922906
VGG16_38,-0.0001602564102564097,0.00048076923076922906
VGG16_32,-0.0001602564102564097,0.00048076923076922906
MobileNetV2_52,-0.0001602564102564097,0.00048076923076922906
MobileNetV2_56,-0.0003205128205128194,0.0022435897435897356
VGG16_21,-0.0003205128205128194,0.0006410256410256387
MobileNetV2_26,-0.0003205128205128194,0.0009615384615384581
VGG16_50,-0.00048076923076922906,0.0007343871306018948
MobileNetV2_28,-0.00048076923076922906,0.0007343871306018948
MobileNetV2_45,-0.00048076923076922906,0.0007343871306018948
VGG16_20,-0.00048076923076922906,0.0007343871306018948
VGG16_31,-0.00048076923076922906,0.0012516425762670875
VGG16_2,-0.0006410256410256387,0.0007850928662766569
MobileNetV2_38,-0.0006410256410256387,0.0014687742612037897
VGG16_15,-0.0006410256410256387,0.0007850928662766569
VGG16_23,-0.0008012820512820484,0.0008012820512820484
MobileNetV2_54,-0.0008012820512820484,0.001477491098925137
VGG16_51,-0.0008012820512820484,0.0008012820512820484
VGG16_3,-0.0008012820512820484,0.0010750326814902796
VGG16_9,-0.0008012820512820484,0.0010750326814902796
VGG16_34,-0.0008012820512820484,0.0008012820512820484
VGG16_39,-0.0008012820512820484,0.0008012820512820484
MobileNetV2_41,-0.0009615384615384581,0.0010630207661395477
MobileNetV2_21,-0.0009615384615384581,0.0007850928662766569
MobileNetV2_31,-0.0009615384615384581,0.0007850928662766569
VGG16_61,-0.0009615384615384581,0.0007850928662766569
